linker,family,smiles,yield,purity,reproducibility
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.28,0.52,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.39,0.65,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.66,0.81,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.21,0.76,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.22,0.71,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.19,0.49,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.09,0.66,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.13,0.57,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.05,0.54,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.58,0.74,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.48,0.61,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.2,0.69,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.45,0.71,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.29,0.75,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.27,0.73,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.38,0.6,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.41,0.69,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.34,0.59,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.36,0.54,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.4,0.66,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.14,0.47,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.46,0.69,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.46,0.75,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.24,0.73,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.59,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.2,0.5,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.16,0.59,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.43,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.08,0.41,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.73,0.51,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.41,0.66,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.54,0.68,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.25,0.68,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.4,0.66,0.75
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.41,0.59,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.39,0.68,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.42,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.47,0.49,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.3,0.66,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.29,0.42,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.43,0.62,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.71,0.48,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.17,0.69,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.27,0.58,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.24,0.54,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.24,0.62,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.43,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.15,0.39,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.62,0.73,0.75
