smiles,logS
c1ccc2c(c1)CCOC2,-0.9833561009190728
c1ccc2c(c1)Cc1ccccc1-2,-1.980413637664912
c1ccc2c(c1)CCCC2,-1.6863434213645803
CCc1ccccc1,-1.3177818039812776
C1=CCCCC1,-1.216889832458779
C1CCSC1,-0.917633969313843
CN1CCCC1=O,-0.4994416310599311
COCc1ccccc1,-1.0707561711293143
CCCCN1Cc2ccccc2C1,-1.5041859425136177
CCCc1ccccc1,-1.2520270485410077
CCCCCCCCOCc1ccc(OC)cc1,-2.03992892872829
CC(C)CCOCc1ccccc1,-1.5676779694809397
CC1=CCCCC1,-1.5633615283343982
CC1=C(C)CCCC1,-1.3675899766098447
C1=CCCC1,-0.9890531678668038
C=CCCCCCC,-1.5119163870727237
CC1=C(C)C(=O)CCC1,-1.2825678835885121
C=C1CCC2CC1C2(C)C,-1.8719193630736317
CCN1CCCC1=O,-0.5680557743576928
CC(=O)N1CCCC1,-0.11298974648203146
CCN(CC)C(C)=O,-0.6961600416553804
O=C1CCCN1Cc1ccccc1,-1.2045044165121421
O=C(c1ccccc1)N1CCCC1,-0.9958407988323712
O=C(c1ccccc1)N1CCCCC1,-1.4316114755836662
CCNC(C)=O,-0.5712452848866366
Cc1ccc(S(=O)(=O)O)cc1,-0.7870140546173683
c1ccc2c(c1)CCC2,-1.3236442931841033
CC1=CCC2CC1C2(C)C,-1.550974258856448
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-1.8991790907185202
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,-2.3646178014977313
C1=C(c2ccccc2)CCCC1,-1.8823368558104614
C=C(C)C1CCC2=CCCC(C)C2(C)C1,-2.3989900983400885
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,-2.252071386302678
CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1,-3.0363273703808886
CC(C)(C)C1=CCCCC1,-1.6953141052014806
COC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2,-3.2131244100927203
CC1(O)C=CCCC1,-0.9065991649757625
CCCCC1(O[Si](C)(C)C)C=CCC1,-2.182012703869742
CC1(O)CCCC=C1c1ccccc1,-1.4951641301544112
CC1(O)CCCC=C1c1ccc(C(C)(C)O)cc1,-1.8965182550337996
COc1cccc(C2=CCCCC2(C)O)c1,-1.4174926104584258
COc1cncc(C2=CCCCC2(C)O)c1,-1.5157247381445695
OC1(c2ccccc2)C=CCCC1,-1.5882486789879466
CC1=CC(C)(O[Si](C)(C)C)CCC1,-2.23531952682232
CCC=CC(C)(C)O,-1.053024931277108
CCCCCCC=CC(C)(C)O,-1.8052060791308706
CCCCC#CC(C)(C)O,-1.3280843344691071
CC1=CCCC(C)(C)C12CCC(C)O2,-1.9263813839137012
C=C(C)C1CC=C(C)C(C)(O)C1,-1.377717562902914
C=C(C)C1CC=C(C)CC1,-1.805377000964223
CC(=O)OCC1=CCC2CC1C2(C)C,-1.3846068225746493
CC(=O)OCCC1=CCC2CC1C2(C)C,-1.32000333216737
CC(=O)NCCC1=CCC2CC1C2(C)C,-1.3053005913169324
CC1(C)C2CC=C(CCN3C(=O)CCC3=O)C1C2,-1.5119628864934582
CC(=O)OCCC1=C(C)CCC2C(C)(C)CCCC12C,-2.4171600356872176
CC1=C2CC(C(C)(C)O[Si](C)(C)C)CCC2(C)CCC1,-2.8690930195381954
C=C(C)C1CCC2(C)CCCC(C)=C2C1,-2.186678264536486
CC[Si](CC)(CC)OC(C)(C)C1CCC2(C)C=CCC(C)C2C1,-3.1797499232785706
CC1(C)C2=CCCC(C)(C)C23CCC1C3,-2.3868632370681593
CC(=O)OC(C)(C)C1CCC(C)C2=C(C1)C(C)CC2,-2.0949277010054597
CC1=CCC23CC1C(C)(C)C2CCC3C,-2.1037246765652076
CC12CCC3C(CC=C4CC(OC5OC(COC(=O)c6ccccc6)C(OC(=O)c6ccccc6)C(OC(=O)c6ccccc6)C5OC(=O)c5ccccc5)CCC43C)C1CCC2=O,-4.286509456906058
CC12CCC3C(CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC43C)C1CCC2=O,-0.9354289516807439
COC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C)CC2,-3.74744549741605
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,-3.65766616122643
C1CCOCC1,-1.0519048946379645
C1C2CC3CC1CC(C2)C3,-1.5099273681328784
CCCCC(=O)c1ccccc1,-1.7924349960287596
CCCCCOC(=O)c1ccc(Cl)cc1,-2.1711206275812724
