linker,family,smiles,MW,logP,TPSA,n_rings,temperature,time_h,concentration_M,solvent_DMF,expected_yield,yield,purity,reproducibility
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.05,0,0.18306799955952968,0.28306799955952966,0.5231402632420005,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.05,0,0.4052166673106726,0.3941830677666361,0.6515164923260354,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.05,0,0.6195486889116291,0.6581864467503065,0.8116845838697794,1.0
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.05,0,0.20281590685096185,0.20863513942494025,0.7624271679305047,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.05,0,0.19448926518485177,0.22209619217404747,0.7051189132981631,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.05,0,0.17474075635604877,0.19205387009376632,0.49325783875139356,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.05,0,0.11109392581309845,0.09200001642196903,0.6571698073778338,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.05,0,0.11109392581309845,0.12735249242540725,0.5658090489433967,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.05,0,0.06092488642849529,0.05142702289352081,0.5362770348646747,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.05,0,0.5917061393071583,0.5820344658223895,0.7352019533286127,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.05,1,0.38306799955952964,0.4830679995595296,0.6109654752447718,0.75
