epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,7,,,0.6876198649406433,-0.03195500373840332,0.8714815378189087,0.7594801187515259
0,7,0.9817602038383484,,,,,
1,15,,,0.7115123867988586,-0.019884467124938965,0.8663698434829712,0.7505967020988464
1,15,0.8630437850952148,,,,,
2,23,,,0.7182224988937378,-0.014712810516357422,0.864170491695404,0.7467905879020691
2,23,0.7960432767868042,,,,,
3,31,,,0.6351972818374634,0.1316881775856018,0.7994028925895691,0.6390449404716492
3,31,0.7320120334625244,,,,,
4,39,,,0.7217790484428406,0.011368632316589355,0.8529921174049377,0.7275955677032471
4,39,0.7008733749389648,,,,,
5,47,,,0.601262092590332,0.2164316177368164,0.7593924403190613,0.5766769051551819
5,47,0.6316930651664734,,,,,
6,49,,0.6585978865623474,,,,
6,55,,,0.6421725749969482,0.19398987293243408,0.7701903581619263,0.5931931734085083
6,55,0.6440322995185852,,,,,
7,63,,,0.6293502449989319,0.22618955373764038,0.7546492218971252,0.569495439529419
7,63,0.5805388689041138,,,,,
8,71,,,0.6300411820411682,0.2316095232963562,0.7520017027854919,0.5655065178871155
8,71,0.5540679097175598,,,,,
9,79,,,0.6411169171333313,0.2176598310470581,0.7587970495223999,0.5757730007171631
9,79,0.5460734367370605,,,,,
10,87,,,0.6106468439102173,0.284778356552124,0.7255179286003113,0.5263763070106506
10,87,0.5235083103179932,,,,,
11,95,,,0.5833468437194824,0.33214783668518066,0.7010806798934937,0.49151411652565
11,95,0.5092499256134033,,,,,
12,99,,0.40220341086387634,,,,
12,103,,,0.6099641919136047,0.289034366607666,0.7233560681343079,0.5232439637184143
12,103,0.4872983992099762,,,,,
13,111,,,0.599030077457428,0.31002920866012573,0.7125956416130066,0.507792592048645
13,111,0.48274046182632446,,,,,
14,119,,,0.5750557780265808,0.3526662588119507,0.6902270317077637,0.4764133393764496
14,119,0.47487637400627136,,,,,
