epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,6,,,0.5263158082962036,0.5569401383399963,0.6674877405166626,0.6867719292640686
0,6,0.6901223063468933,,,,,
1,13,,,0.5263158082962036,0.7040963172912598,0.7253694534301758,0.6465823650360107
1,13,0.6604012846946716,,,,,
2,20,,,0.6842105388641357,0.7553032636642456,0.7586206197738647,0.5782234072685242
2,20,0.5606898665428162,,,,,
3,27,,,0.719298243522644,0.7580304741859436,0.7733990550041199,0.5943926572799683
3,27,0.49970024824142456,,,,,
4,34,,,0.719298243522644,0.778903603553772,0.7832512259483337,0.5628107190132141
4,34,0.43835753202438354,,,,,
5,41,,,0.719298243522644,0.7922390699386597,0.8004925847053528,0.5283063054084778
5,41,0.4234063923358917,,,,,
6,48,,,0.7368420958518982,0.7984459400177002,0.8091132640838623,0.5216042399406433
6,48,0.3884752094745636,,,,,
7,49,,0.3575594425201416,,,,
7,55,,,0.7368420958518982,0.803051233291626,0.818965494632721,0.5157375931739807
7,55,0.38983914256095886,,,,,
8,62,,,0.7543859481811523,0.8151037693023682,0.8288177251815796,0.47425299882888794
8,62,0.3618478775024414,,,,,
9,69,,,0.7894737124443054,0.8234723210334778,0.8411329984664917,0.46244698762893677
9,69,0.3584655821323395,,,,,
10,76,,,0.7894737124443054,0.8294767141342163,0.8534482717514038,0.4448874890804291
10,76,0.3548319339752197,,,,,
11,83,,,0.8070175647735596,0.8302203416824341,0.8546798229217529,0.44140785932540894
11,83,0.34530821442604065,,,,,
12,90,,,0.8245614171028137,0.8362940549850464,0.8620688915252686,0.43287715315818787
12,90,0.3398192226886749,,,,,
13,97,,,0.8070175647735596,0.8406176567077637,0.864531934261322,0.43400508165359497
13,97,0.3384520709514618,,,,,
14,99,,0.3221971392631531,,,,
14,104,,,0.8245614171028137,0.8473901152610779,0.8743842840194702,0.4253843128681183
14,104,0.32877811789512634,,,,,
